subject,repetition,context,interference,g,SD,nTrials
1,1,0,0,0.067878800340033,26.7286544814804,23
1,1,0,1,0.0337199624406712,92.5896858244173,24
1,1,1,0,0.253234541498154,20.7325559264335,27
1,1,1,1,0.601030784574261,38.3269998733888,23
1,5,0,0,0.131255728088646,22.0971359530077,24
1,5,1,0,0.337876019163096,23.3574304023197,17
1,5,1,1,0.298592116608248,31.7032480670895,23
2,1,0,0,0.000806703715158126,19.3131981146475,27
2,1,1,0,0.0999781276783123,19.9523137246746,26
2,1,1,1,0.718849477392128,17.3885722475674,26
2,5,0,0,0.0700012407668098,13.8725489928972,24
2,5,0,1,0.23647985436713,13.2226495004069,26
2,5,1,0,0.0586346792925608,15.0187835605715,24
2,5,1,1,6.46823052912852e-05,25.8073183661336,24
3,1,0,0,0.000896606568584493,27.5851030934222,22
3,1,0,1,0.435120363177446,31.7455884717359,27
3,1,1,0,0.00021140815977203,20.145285076663,23
3,1,1,1,0.349826683872581,38.664930286209,24
3,5,0,0,0.0679568487372612,17.0833248495292,23
3,5,0,1,0.0563408125572849,18.4879583586747,24
3,5,1,0,0.152130691368455,14.663854069529,25
3,5,1,1,0.000357704403655179,17.9305008846155,24
4,1,0,0,0.000749172931479842,26.3949613398202,28
4,1,0,1,0.292246718604313,43.8901851968435,22
4,1,1,0,0.0728015030636061,24.7878488887408,25
4,1,1,1,0.395857623032553,24.917703114216,21
4,5,0,0,0.000297835172966068,17.7395601378918,27
4,5,0,1,0.0997273624463782,16.9819149739917,24
4,5,1,0,0.000765022762334117,24.8096684587112,22
4,5,1,1,0.00056441333138167,19.56069962919,20
5,1,0,0,0.000171822862254704,15.3930946194775,21
5,1,0,1,0.576101992064752,9.76482084491166,25
5,1,1,0,0.000591962122585491,19.285694467841,23
5,1,1,1,0.0831947009322303,19.1191811734931,16
5,5,0,0,0.000103453911201539,12.0130859021174,24
5,5,0,1,0.0024847192543227,16.1376429971531,25
5,5,1,0,0.000499806638839223,12.5899998672136,24
5,5,1,1,0.000287983148379897,13.9034257987927,24
6,1,0,0,0.000286124428888666,25.9679809173136,24
6,1,0,1,0.126388402320485,27.2699984300483,25
6,1,1,0,0.0475499595493366,22.1173122729571,23
6,1,1,1,0.141736771549984,24.6346665385635,23
6,5,0,0,0.000727696616908288,13.9742224921762,22
6,5,0,1,0.00110810072468996,17.3260746161206,23
6,5,1,0,0.000269248198753114,11.1133633072768,23
6,5,1,1,0.134802621891523,23.8934574348426,23
7,1,0,0,0.00075404298561009,16.7297937719048,22
7,1,0,1,0.592594447137183,185735.787643164,28
7,1,1,0,0.00263587834733024,22.8860096073419,19
7,5,0,0,0.00318753478630526,17.9416940690527,27
7,5,0,1,0.164527929099889,6.77028121439484,21
7,5,1,0,0.000172175145949374,15.2338523259265,25
7,5,1,1,1.01632782338861e-05,20.4397394444602,26
8,1,0,0,0.0796056839884694,16.3859701796595,24
8,1,0,1,0.642628716144776,19.3887499484996,23
8,1,1,0,0.00119719850836296,14.1384768953933,23
8,1,1,1,0.446547184296105,26.2800532628079,21
8,5,0,0,0.0446702927011653,11.3972107505957,25
8,5,0,1,0.000145969583526515,14.1906511662303,19
8,5,1,0,0.00268503855223493,20.4580430886211,25
8,5,1,1,0.00179238334548434,20.3313184362122,25
9,1,0,0,0.00188655444774683,29.2180675703073,27
9,1,0,1,0.0526662812424079,80.9363098878892,22
9,1,1,0,0.0943512347597962,28.2800192660815,24
9,1,1,1,0.63618224205087,19.7771088300671,23
9,5,0,0,0.105914165550071,26.0686167270928,21
9,5,0,1,0.0567695424614533,19.7487185530213,25
9,5,1,0,0.00166552400468702,26.261242505035,28
9,5,1,1,0.000321284794543082,30.7393008127835,21
10,1,0,0,0.190570707148654,23.4557158675902,28
10,1,0,1,0.818715582073449,31.173699478111,25
10,1,1,0,0.194308344432411,21.5833052043659,22
10,1,1,1,0.731644139212829,147648.603483534,24
10,5,0,0,0.0546334741717306,17.332379325299,28
10,5,0,1,0.409607076243056,20.3561118561584,22
10,5,1,0,0.000722553493526192,22.0870893685913,22
10,5,1,1,0.172624679061193,14.3955037730863,21
11,1,0,0,0.0653013461214013,20.7265564073606,22
11,1,0,1,0.0171158345843263,112.665479110605,28
11,1,1,0,0.09091545336643,21.0219042708268,24
11,5,0,0,0.0547725852653654,16.8581995672586,23
11,5,0,1,0.126241998934692,25.4364639419106,25
11,5,1,0,0.00296702143818312,25.3464089191715,23
11,5,1,1,0.0633104901586436,31.7508740195659,22
13,1,0,0,0.0556352551204302,13.7617508555764,23
13,1,0,1,0.475186057091587,22.385492281031,21
13,1,1,0,0.000431997238651477,15.9453710767435,26
13,1,1,1,0.269124463599265,20.1530731697571,23
13,5,0,0,8.58850769846105e-05,15.346098353076,25
13,5,0,1,5.93869706681364e-05,15.4138705694792,21
13,5,1,0,0.0944403432121701,11.8759720810755,24
13,5,1,1,0.000268974155789373,19.1755231658984,22
14,1,0,0,0.0783657891963156,29.5360518379194,25
14,1,0,1,0.382973388950852,74.4827920139923,26
14,1,1,0,0.000636967263789236,40.1282845511156,24
14,1,1,1,0.302013337254486,44.8190133424647,26
14,5,0,0,0.198226821034189,22.0748072366323,23
14,5,0,1,0.680953992539378,16.314573452975,23
14,5,1,0,0.261118658853158,24.1684289153694,24
14,5,1,1,0.267542716619248,27.1070986996855,21
15,1,0,0,0.104280729689864,16.8627738393383,22
15,1,0,1,0.00629791671313862,64.5298930094176,25
15,1,1,0,0.151312713635689,14.1022004524737,24
15,5,0,0,0.0738193329677559,22.5559734861651,24
15,5,0,1,0.0602514576621872,24.2703867692021,23
15,5,1,0,0.134852874503,19.3197958028251,22
15,5,1,1,0.000907934815013429,20.7542114342942,24
16,1,0,0,0.00151745674464878,14.8225513604789,26
16,1,1,0,0.00100908515114853,32.3309683137247,24
16,1,1,1,0.856816824994287,75756.8909866099,28
16,5,0,0,0.000221092020171079,20.1611790569302,23
16,5,0,1,0.214575260459325,19.1792232328183,25
16,5,1,0,0.0527823425069038,21.9678616814425,27
16,5,1,1,0.231866087854539,21.8700682536586,24
17,1,0,0,0.144096047307633,32.6575508725531,21
17,1,0,1,0.405044643611676,30.8983335873051,25
17,1,1,0,0.000870350062471811,29.8786672919479,26
17,1,1,1,0.757136408170151,0.525650307608689,25
17,5,0,0,0.00160201512689783,13.9205108011228,28
17,5,0,1,0.000104751953537652,16.9820245654126,23
17,5,1,0,0.000537607094231754,18.1214429219955,24
17,5,1,1,0.000768315073821166,20.687928082418,25
18,1,0,0,0.0880657481240792,17.3050933552845,25
18,1,0,1,0.680719762400716,34.7602621699234,19
18,1,1,0,0.142646257955854,15.8575885531699,27
18,1,1,1,0.67861773607295,68.3912295461623,18
18,5,0,0,0.00134060791795791,15.8103364530006,26
18,5,0,1,0.00245704585602085,14.2538571902335,24
18,5,1,0,4.71876017011062e-05,17.8196111296765,27
18,5,1,1,0.000599989236022893,17.0739587393265,24
19,1,0,0,0.0614297342643903,18.4317372135204,23
19,1,0,1,0.256811017274626,34.5516713580775,24
19,1,1,0,0.0332054549658144,27.8760520337147,26
19,1,1,1,0.495942484349774,24.5101452001673,21
19,5,0,0,0.140241540301355,17.0423001863998,20
19,5,0,1,0.290953202898271,14.9678994389963,22
19,5,1,0,0.163368170655158,16.6502126730629,23
19,5,1,1,0.287702680452506,14.0978036985492,21
20,1,0,0,0.00157868481982352,23.5627250439429,27
20,1,0,1,0.741984475703258,19.5388723681388,27
20,1,1,0,1.36077416299785e-05,31.0816178486904,26
20,1,1,1,0.0289083927006271,281366786.832728,23
20,5,0,0,0.00101166402463097,12.4121510012688,26
20,5,0,1,0.00032154403211522,12.4881638613097,23
20,5,1,0,0.000359982296383701,16.3982327211671,28
20,5,1,1,0.00154834028860007,16.2842123886678,21
21,1,0,0,4.59576952864665e-05,17.7098826849253,25
21,1,0,1,0.556031407729173,24.1958554920962,25
21,1,1,0,0.05166134161611,16.9908208367895,26
21,1,1,1,0.351004218156446,25.7059976921896,24
21,5,0,0,0.000626222118191459,13.8310612725934,25
21,5,0,1,0.000795285601623189,12.2012964125255,24
21,5,1,0,0.000423876748891735,13.7978692919101,24
21,5,1,1,0.062069612454251,11.8441815594425,23
22,1,0,0,0.00194461489905923,22.3501069354038,22
22,1,0,1,0.515164056085707,16.5805545959176,27
22,1,1,0,0.0169401136101443,27.5034972750835,23
22,5,0,0,0.159619357958995,14.5652143332303,22
22,5,0,1,0.0683197556682256,22.0927837666111,22
22,5,1,0,0.000143766289970773,14.8174006348289,25
22,5,1,1,0.000280300732515251,21.6818321403969,24
23,1,0,0,0.144358100293548,21.711709947745,22
23,1,0,1,0.593922384359831,20.1342088087463,25
23,1,1,0,0.116241655962092,20.2597545449758,25
23,1,1,1,0.430462127402164,74.0321771422858,23
23,5,0,0,0.000577570642390932,21.2123081996974,26
23,5,0,1,0.0699054634338911,22.5755518355562,22
