subject,repetition,context,interference,g,swap,SD,nTrials
1,1,0,0,0.0590089850683654,0.00488163387101654,28.3462966141863,23
1,1,0,1,0.583643361919588,0.0399317301936061,47.7944446184808,24
1,1,1,0,0.246993282671632,0.0055845704091927,21.7996676940767,27
1,5,0,0,0.126320316327376,0.00225348800762301,21.5781009329351,24
1,5,0,1,0.383650295219637,0.00420823402303992,39.9009981348576,23
1,5,1,0,0.308029446908281,0.0023216789289658,23.3053740126231,17
1,5,1,1,0.353512870309913,0.000585124381976568,27.8468425223577,23
2,1,0,0,0.00477582944058485,0.00263521436208368,18.7500114845115,27
2,1,0,1,0.776020795713349,0.000419816999011127,19.1263648501715,25
2,1,1,0,0.129851234807864,0.000608891094095506,17.3950120211828,26
2,1,1,1,0.752918391072778,0.00290077025086756,15.4516918490897,26
2,5,0,0,0.0660327610475695,0.000640951102764895,13.8594870573734,24
2,5,0,1,0.249624889503308,0.000659001526745244,13.1697216734052,26
2,5,1,0,0.0529067221770082,0.00379882782700583,14.8835649511175,24
2,5,1,1,0.00373175475329731,0.00381227390128149,25.924647705226,24
3,1,0,0,0.00307442131882406,0.00112108982976388,26.4591435590412,22
3,1,0,1,0.387692103758287,0.00492966826617224,29.9990857391744,27
3,1,1,0,0.00547882412458817,0.000725042500183487,20.6076396136652,23
3,1,1,1,0.34608009335936,0.00294564455791537,37.2922743210037,24
3,5,0,0,0.0722271435816136,0.0028067881827954,17.1662388179269,23
3,5,0,1,0.0531164555540417,0.00454360273263018,18.697854010945,24
3,5,1,0,0.167581010815481,0.000321195502059625,14.1410158960312,25
3,5,1,1,0.00290019957998572,0.0028756856876336,17.6590252705498,24
4,1,0,0,0.0108614273448253,0.00341824650803676,25.1281753535128,28
4,1,0,1,0.24977035029353,0.00242720042298468,48.7473683574381,22
4,1,1,0,0.0849460801283303,0.000562152971646291,24.0224840220604,25
4,1,1,1,0.440185481691946,0.0047557122103565,25.0980245335973,21
4,5,0,0,9.74389538340871e-05,0.00542842559723649,18.4736092427162,27
4,5,0,1,0.0999585894074852,0.00251817451891249,17.7311891741508,24
4,5,1,0,0.0142328022609744,0.00709889353602309,24.9963466848833,22
4,5,1,1,0.0155775968569879,0.00513501224704842,20.8770293599788,20
5,1,0,0,0.00477895344594136,0.00131554897803177,15.2554508786274,21
5,1,0,1,0.609098400132748,0.0019029840324806,10.4297009019581,25
