subject,test,repetition,g,SD,nTrials
13,1,1,0.217342978134781,19.4148960091142,78
13,1,2,0.0842385720170233,18.9454187657131,78
13,1,3,0.0312827910344169,21.8169404842848,78
13,1,4,0.0633605702854021,20.1221306627752,77
13,1,5,0.00188879861377612,23.8264792161534,77
13,1,6,0.0289292912346259,26.7217588836647,76
13,2,1,0.426642421711563,38.7084036306394,78
13,2,2,0.00509038016097046,33.1010253213332,78
13,2,3,0.0504384426841711,21.1395728214313,72
13,2,4,0.0289178344759385,19.4268717962365,74
13,2,5,0.0839209434349741,23.9578964135402,78
13,2,6,0.0465762840614976,20.3929084009142,75
14,1,1,0.0206182328198058,19.91422849855,80
14,1,2,0.000432900867378277,18.1559812821359,80
14,1,3,0.000227728082271575,19.44902180659,79
14,1,4,2.44366667014866e-05,15.6315906481974,80
14,1,5,0.000793425499111999,19.8701529793785,78
14,1,6,8.59752981245236e-05,18.5953097481821,80
14,2,1,0.0382895607757573,25.669886544773,79
14,2,2,0.00118169910692689,21.5375406535867,80
14,2,3,0.0517074487677699,16.5916609171618,78
14,2,4,0.00178044159514733,14.5935822532159,80
14,2,5,0.0186812626268076,15.3497688296919,80
14,2,6,0.0462013770386039,11.4811556135028,80
15,1,1,0.123679089646966,24.4492811068876,77
15,1,2,0.0247130360336402,20.1456738659636,80
15,1,3,0.0666948691677947,20.5376237630045,80
15,1,4,0.0732690240078942,20.1640038033033,80
15,1,5,0.0405112651339996,20.1577838912231,79
15,1,6,0.0255173554554626,22.3655332259309,80
15,2,1,0.45800493602438,25.0119614349495,80
15,2,2,0.166149817624363,24.6875600546818,80
15,2,3,0.210079266164704,21.6594302345896,79
15,2,4,0.219525415816256,18.3946805988397,79
15,2,5,0.00109255518010399,29.7484271500833,79
15,2,6,0.0442015076443188,25.8628946685917,79
16,1,1,0.173539702873437,24.4014219844846,76
16,1,2,0.137090269134869,19.9001002405912,77
16,1,3,0.0202507351578142,18.764555285202,78
16,1,4,0.0785960594237989,18.9667600414201,79
16,1,5,0.000977050155074898,30.6727409237164,79
16,1,6,0.0314233670842808,22.887628578532,77
16,2,1,0.262939042896869,23.3993487775615,79
16,2,2,0.0256768767149221,22.5780952989364,77
16,2,3,0.051919769930688,20.2721918447372,78
16,2,4,0.00204629278286225,18.5820145258916,78
16,2,5,0.0629455224367437,20.0400610646043,77
16,2,6,0.068939094777179,19.497513089684,77
17,1,1,0.0462158463872228,22.2394119925872,80
17,1,2,0.000345279025108915,23.6324206765923,80
17,1,3,6.02601863404485e-05,18.9071256264828,80
17,1,4,0.000374939652878043,22.7083776545556,80
17,1,5,1.80882267440605e-05,22.7357959491855,80
17,1,6,0.000173445618367086,20.4940330080744,80
17,2,1,0.110243308499058,28.8572851534672,80
17,2,2,0.000241999910182415,20.3064435961498,80
17,2,3,0.000262913840895843,19.3613132688208,80
17,2,4,0.000316926568494394,18.1386604456526,80
17,2,5,1.54992188044689e-05,19.5054011131538,80
