subject,test,repetition,context,g,SD,nTrials
13,1,1,0,0.298413064679731,14.8223031164147,38
13,1,1,1,0.14010836007348,22.3501879562785,40
13,1,5,0,0.0337327738971416,21.4757507593916,37
13,1,5,1,0.00149027456053269,23.660562448548,40
13,2,1,0,0.747284485527553,4.27794278023442,38
13,2,1,1,0.38319089035541,48.3589867349074,40
13,2,5,0,0.0425441138052284,25.7593058765432,38
13,2,5,1,0.133870805379386,20.7136048246914,40
14,1,1,0,0.0390971126631311,22.7803227298994,40
14,1,1,1,0.000308155210828072,16.8857713963524,40
14,1,5,0,0.0300224147148057,16.6299027006301,37
14,1,5,1,0.000535389024628942,20.2295930506653,41
14,2,1,0,0.000432747193234996,25.9414989201231,40
14,2,1,1,0.0765326508954335,25.416590564001,39
14,2,5,0,0.0342108085688016,15.7790329887903,39
14,2,5,1,0.000180244868616041,14.835541983561,41
15,1,1,0,0.112181910245388,23.4150899735176,38
15,1,1,1,0.138370968568783,24.956159935324,39
15,1,5,0,0.0374238551038248,21.2958151687123,41
15,1,5,1,0.0549325512557195,18.2445028756132,38
15,2,1,0,0.368932250468003,29.2030218365801,39
15,2,1,1,0.546654847300102,18.2251613956735,41
15,2,5,0,0.0637365187418011,21.0244693520603,41
15,2,5,1,0.00010788824126232,32.2195203873451,38
16,1,1,0,0.231582997851468,20.3615572919234,37
16,1,1,1,0.147711451803979,25.6393475239964,39
16,1,5,0,0.00424102325455838,35.8067528057718,39
16,1,5,1,0.000928184547349498,25.4767754217415,40
16,2,1,0,0.24014299383953,25.4085597150807,40
16,2,1,1,0.291665501437566,21.2469851968877,39
16,2,5,0,0.0472672703724598,22.0053645115934,37
16,2,5,1,0.108051123514015,15.8628582731322,40
17,1,1,0,0.00296406164190618,24.2584790923532,38
17,1,1,1,0.0720303638036547,21.4789279226277,42
17,1,5,0,0.000712749653402806,20.4829442311451,41
17,1,5,1,5.38068460708089e-05,24.2326180630823,39
17,2,1,0,0.00185043352165806,30.9668896034675,38
17,2,1,1,0.206337793893922,25.7641807356254,42
17,2,5,0,8.21312692881136e-05,20.1108273861914,41
